Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
230440;Fortaleza (CE);313.8;6814.0;0.0;69.63;2.16;306.7;0.66;47.42;43.73;0.786;87.71;88.8;6.91;2141402;7435.0;0.2107639950990507;0.0507452594141595;1.0;288.01640887693344;0
410830;Foz do Iguaçu (PR);590.3;437.7;533.2537962;68.28;2.27;326.19;0.58;60.66;44.33;0.788;86.46;92.52;6.41;258543;795.0;0.3598722931996654;0.0286451383328885;0.9921908541325816;325.211320754717;1
351620;Franca (SP);609.0;471.9;343.5153795;73.03;2.26;359.6;0.51;57.5;35.45;0.82;83.21;94.37;6.59;287737;1029.0;0.2344035555860624;0.0556966952460059;0.9807671588985776;279.62779397473275;1
351630;Francisco Morato (SP);49.3;2702.8;31.57856708;68.02;3.77;175.94;0.48;67.58;51.33;0.738;80.09;89.2;4.69;133738;179.0;0.5943017225964118;0.0249742032930057;0.9987811990608504;747.1396648044692;0
351640;Franco da Rocha (SP);134.2;804.7;26.77211816;70.98;2.45;245.63;0.49;72.81;51.84;0.778;81.99;90.41;5.44;108122;143.0;0.264067340854621;0.0381051034942009;0.9285344333253176;756.0979020979021;1
260600;Garanhuns (PE);467.8;251.4;200.0464611;65.84;2.62;167.83;0.62;52.54;51.51;0.693;79.12;75.72;5.07;117749;407.0;0.1394219138580041;0.0648498076416784;0.8784363349157954;289.3095823095823;1
520870;Goiânia (GO);743.0;1467.8;0.0;70.06;1.79;508.3;0.61;56.72;38.87;0.832;90.24;94.82;7.87;1093007;5125.0;0.18827970163825;0.0455953164069397;0.9934117530811788;213.26965853658533;0
312770;Governador Valadares (MG);2355.4;104.8;236.2321554;68.19;2.06;309.18;0.62;47.78;42.78;0.772;81.19;89.53;6.08;247131;657.0;0.0720402214086168;0.0582605986298764;0.9553556615722026;376.1506849315069;2
430920;Gravataí (RS);478.8;485.5;24.94979627;73.59;2.37;288.59;0.49;61.47;43.74;0.811;81.93;94.87;6.36;232629;858.0;0.2849946143011019;0.0471308392332856;0.9119413314762992;271.1293706293706;1
410940;Guarapuava (PR);3160.1;49.0;219.3345751;67.79;2.54;292.11;0.64;51.98;41.32;0.773;83.16;91.26;5.55;155161;719.0;0.1431760579983496;0.0454946797197749;0.9132062825065576;215.80111265646727;2
